Object,Score,Time
Briefcase,6.600004,3.424919
Running Shoe,6.250003,0.6877289
Planter,4.699997,0.611496
Toy Truck,4.899998,0.6558113
Red Bottle,5.099998,0.5547714
Slipper,4.849998,0.7451591
Weights,6.000002,0.6894684
Screwdriver,6.400003,0.7772217
Books,6.050002,0.6981163
Pot,4.849998,0.7440224
Sunglasses,6.000002,0.6576843
Headphones,4.899998,1.133713
Telephone,7.600008,1.532562
Hat,6.000002,0.7000656
Blue Alarm Clock,6.200003,0.7114563
Glasses,4.899998,0.7105522
Brush,4.149995,1.745747
Blue Bag,4.849998,0.6782455
Wine Bottle,4.699997,1.032574
Ribbon Ball,4.749997,1.022472
Kettle,4.799997,0.7325974
Spoon,4.799997,0.7451286
Suitcase,4.899998,0.622097
Tire,4.799997,0.6560402
Green Balloon,4.899998,0.7110863
Keychain,6.600004,0.7780495
Tape,6.700005,0.9298401
Laptop Bag,4.899998,0.6335907
Ping Pong,5.950002,0.5907249
Stapler,4.799997,0.6222458
Tennis Ball,5.850001,0.7323303
Microphone,5.049998,0.6904221
Flashlight,5.950002,0.643734
Blue Soap Bottle,4.799997,0.7637444
Grater,6.000002,0.6369247
Spray Bottle,4.899998,0.6662636
Square Clock,5.900002,0.6892433
USB,4.899998,1.011082
Fan,6.250003,0.9336624
Pitcher,4.949998,0.7000732
Woman,6.200003,0.7000427
Snail,4.899998,0.7106934
Fish,6.000002,0.6884232
Cauldron,4.749997,0.8440475
Bloody Chair,6.450004,3.512802
Desk Lamp,4.799997,0.7988205
Severed Arm,6.100002,0.7985458
Broom,4.899998,1.067741
Backpack,4.749997,0.8229599
Scary Mask,4.799997,1.034027
Globe,4.799997,0.8667068
Deer,4.899998,0.6549606
Cockroach,4.849998,0.9002686
Creepy Girl,4.799997,0.7220917
Bloody Baseball Bat,4.749997,0.7216721
Grandfather Clock,4.799997,3.102577
Lamp,4.699997,0.7646027
Guillotine,4.499996,0.68927
Chicken,4.349996,0.532814
Mailbox,4.099995,0.6666641
Jar,4.199995,1.389694
Old Man,4.849998,0.8766785
Goblin Trophy,4.799997,1.411781
Girl,4.549996,0.7892532
Bat,4.899998,1.510262
Electric Kettle,4.699997,2.245262
Bloody Snowman,4.799997,0.9445801
Zombie,4.899998,0.9107513
Skull,4.799997,0.7313004
Alligator,4.799997,1.245796
Snake,6.000002,0.7677536
Butcher,6.300003,0.7984314
Duck,6.100002,0.7228088
Doll Head,6.100002,0.677887
Lizard,4.849998,0.7338791
Traffic Cone,6.000002,2.467125
Sitting Man,6.200003,0.7223511
Worm Monster,6.000002,0.9213943
Cargo,6.100002,1.066299
Bloody Axe,6.550004,0.5670929
